#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1, q0 -> 0.05, p -> 0, h -> 0.1}
#{z1 -> 3.540760, z2 -> 6.412004, z3 -> 6.122998, u -> 4.8, w -> 0.05}
Nu0, M1, M2, M3, stable 
4.8,8.57357,73.0681,0,False

4.8,12.8471,0,67.9776,True

4.8,104.204,0,12.0591,False

4.8,126.277,1.94709,0,False

4.8,130.697,0,0,True

4.9,0,0,0,False

4.9,0,0,78.9659,False

4.9,0,81.006,0,False

4.9,12.6229,71.1333,0,False

4.9,18.2299,0,65.1479,True

4.9,99.8185,0,15.0991,False

4.9,123.241,4.13105,0,False

4.9,132.512,0,0,True

5.,0,0,0,False

5.,0,0,80.1319,False

5.,0,82.1953,0,False

5.,16.89,69.0507,0,False

5.,24.2497,0,61.9091,True

5.,94.7881,0,18.5449,False

5.,119.978,6.45893,0,False

5.,134.306,0,0,True

5.1,0,0,0,False

5.1,0,0,81.2863,False

5.1,0,83.3727,0,False

5.1,21.4283,66.787,0,False

5.1,31.2747,0,58.032,True

5.1,88.7451,0,22.6257,False

5.1,116.436,8.96396,0,False

5.1,136.077,0,0,True

5.2,0,0,0,False

5.2,0,0,82.4293,False

5.2,0,84.5385,0,False

5.2,26.3155,64.2939,0,False

5.2,40.2606,0,52.9229,True

5.2,80.7341,0,27.9352,False

5.2,112.538,11.6946,0,False

5.2,137.828,0,0,True

5.3,0,0,0,False

5.3,0,0,83.5613,False

5.3,0,85.6929,0,False

5.3,31.6739,61.4956,0,False

5.3,62.2712,0.159013,39.5839,False

5.3,108.161,14.7269,0,False

5.3,139.557,0,0,True

5.4,0,0,0,False

5.4,0,0,84.6825,False

5.4,0,86.8362,0,False

5.4,37.7156,58.2601,0,False

5.4,64.6101,10.6065,28.9469,False

5.4,103.093,18.1926,0,False

5.4,141.267,0,0,True

5.5,0,0,0,False

5.5,0,0,85.7931,False

5.5,0,87.9687,0,False

5.5,44.8779,54.3164,0,False

5.5,66.9359,21.0186,18.3405,True

5.5,96.8976,22.3631,0,False

5.5,142.958,0,0,True

5.6,0,0,0,False

5.6,0,0,86.8935,False

5.6,0,89.0907,0,False

5.6,54.4443,48.8699,0,False

5.6,69.249,31.3967,7.7634,True

5.6,88.2908,28.0329,0,False

5.6,144.629,0,0,True

5.7,0,0,0,False

5.7,0,0,87.9838,False

5.7,0,90.2024,0,False

5.7,146.282,0,0,True

5.8,0,0,0,False

5.8,0,0,89.0643,False

5.8,0,91.304,0,False

5.8,147.917,0,0,True

5.9,0,0,0,False

5.9,0,0,90.1353,False

5.9,0,92.3958,0,False

5.9,149.535,0,0,True

6.,0,0,0,False

6.,0,0,91.1968,False

6.,0,93.478,0,False

6.,151.136,0,0,True

6.1,0,0,0,False

6.1,0,0,92.2492,False

6.1,0,94.5507,0,False

6.1,152.72,0,0,True

6.2,0,0,0,False

6.2,0,0,93.2925,False

6.2,0,95.6143,0,False

6.2,154.287,0,0,True

6.3,0,0,0,False

6.3,0,0,94.3271,False

6.3,0,96.6688,0,False

6.3,155.839,0,0,True

6.4,0,0,0,False

6.4,0,0,95.3531,False

6.4,0,97.7145,0,False

6.4,157.376,0,0,True

6.5,0,0,0,False

6.5,0,0,96.3707,False

6.5,0,98.7516,0,False

6.5,158.897,0,0,True

6.6,0,0,0,False

6.6,0,0,97.38,False

6.6,0,99.7802,0,False

6.6,160.404,0,0,True

6.7,0,0,0,False

6.7,0,0,98.3813,False

6.7,0,100.801,0,False

6.7,161.896,0,0,True

6.8,0,0,0,False

6.8,0,0,99.3746,False

6.8,0,101.813,0,False

6.8,163.374,0,0,True

6.9,0,0,0,False

6.9,0,0,100.36,False

6.9,0,102.817,0,False

6.9,164.838,0,0,True

7.,0,0,0,False

7.,0,0,101.338,False

7.,0,103.813,0,False

7.,166.289,0,0,True

7.1,0,0,0,False

7.1,0,0,102.308,False

7.1,0,104.802,0,False

7.1,167.727,0,0,True

7.2,0,0,0,False

7.2,0,0,103.272,False

7.2,0,105.783,0,False

7.2,169.151,0,0,True

7.3,0,0,0,False

7.3,0,0,104.227,False

7.3,0,106.757,0,False

7.3,170.563,0,0,True

7.4,0,0,0,False

7.4,0,0,105.176,False

7.4,0,107.724,0,False

7.4,171.963,0,0,True

7.5,0,0,0,False

7.5,0,0,106.118,False

7.5,0,108.683,0,False

7.5,173.351,0,0,True

7.6,0,0,0,False

7.6,0,0,107.053,False

7.6,0,109.636,0,False

7.6,174.726,0,0,True

7.7,0,0,0,False

7.7,0,0,107.982,False

7.7,0,110.582,0,False

7.7,176.09,0,0,True

7.8,0,0,0,False

7.8,0,0,108.904,False

7.8,0,111.521,0,False

7.8,177.442,0,0,True

7.9,0,0,0,False

7.9,0,0,109.819,False

7.9,0,112.453,0,False

7.9,178.784,0,0,True

8.,0,0,0,False

8.,0,0,110.728,False

8.,0,113.379,0,False

8.,180.114,0,0,True

8.1,0,0,0,False

8.1,0,0,111.631,False

8.1,0,114.298,0,False

8.1,181.433,0,0,True

8.2,0,0,0,False

8.2,0,0,112.527,False

8.2,0,115.211,0,False

8.2,182.742,0,0,True

8.3,0,0,0,False

8.3,0,0,113.418,False

8.3,0,116.118,0,False

8.3,184.04,0,0,True

8.4,0,0,0,False

8.4,0,0,114.303,False

8.4,0,117.019,0,False

8.4,185.328,0,0,True

8.5,0,0,0,False

8.5,0,0,115.182,False

8.5,0,117.914,0,False

8.5,186.606,0,0,True

8.6,0,0,0,False

8.6,0,0,116.055,False

8.6,0,118.803,0,False

8.6,187.875,0,0,True

8.7,0,0,0,False

8.7,0,0,116.922,False

8.7,0,119.686,0,False

8.7,189.133,0,0,True

8.8,0,0,0,False

8.8,0,0,117.784,False

8.8,0,120.564,0,False

8.8,190.382,0,0,True

8.9,0,0,0,False

8.9,0,0,118.64,False

8.9,0,121.436,0,False

8.9,191.622,0,0,True

9.,0,0,0,False

9.,0,0,119.492,False

9.,0,122.302,0,False

9.,192.852,0,0,True

9.1,0,0,0,False

9.1,0,0,120.337,False

9.1,0,123.163,0,False

9.1,194.073,0,0,True

9.2,0,0,0,False

9.2,0,0,121.178,False

9.2,0,124.019,0,False

9.2,195.286,0,0,True

9.3,0,0,0,False

9.3,0,0,122.013,False

9.3,0,124.869,0,False

9.3,196.49,0,0,True

9.4,0,0,0,False

9.4,0,0,122.843,False

9.4,0,125.715,0,False

9.4,197.685,0,0,True

9.5,0,0,0,False

9.5,0,0,123.669,False

9.5,0,126.555,0,False

9.5,198.871,0,0,True

9.6,0,0,0,False

9.6,0,0,124.489,False

9.6,0,127.39,0,False

9.6,200.05,0,0,True

9.7,0,0,0,False

9.7,0,0,125.305,False

9.7,0,128.22,0,False

9.7,201.22,0,0,True

9.8,0,0,0,False

9.8,0,0,126.115,False

9.8,0,129.045,0,False

9.8,202.382,0,0,True

9.9,0,0,0,False

9.9,0,0,126.921,False

9.9,0,129.865,0,False

9.9,203.536,0,0,True

10.,0,0,0,False

10.,0,0,127.723,False

10.,0,130.681,0,False

10.,204.682,0,0,True
