# {W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
#{z1 -> 2.526768, z2 -> 4.005293, u -> 4.5, w -> 0.1}
Nu0,M1,M2,stable

0.,0.,0.,True

0.,0.,0.,True

0.,0.,0.,True

0.,0.,0.,True

0.2,0,0,True

0.4,0,0,True

0.6,0,0,False

0.6,0,5.33701,True

0.8,0,0,False

0.8,0,13.544,True

0.8,7.48722,0,False

1.,0,0,False

1.,0,21.021,True

1.,17.2801,0,False

1.2,0,0,False

1.2,0,27.9202,True

1.2,26.1218,0,False

1.4,0,0,False

1.4,0,34.3473,True

1.4,34.225,0,False

1.6,0,0,False

1.6,0,40.3792,True

1.6,41.7332,0,False

1.8,0,0,False

1.8,0,46.0741,True

1.8,48.7492,0,False

2.,0,0,False

2.,0,51.4772,True

2.,55.3489,0,False

2.2,0,0,False

2.2,0,56.6244,True

2.2,61.5908,0,False

2.4,0,0,False

2.4,0,61.5449,True

2.4,67.5209,0,False

2.6,0,0,False

2.6,0,66.2627,True

2.6,73.1761,0,False

2.8,0,0,False

2.8,0,70.798,True

2.8,78.5865,0,False

3.,0,0,False

3.,0,75.1676,True

3.,83.7773,0,False

3.2,0,0,False

3.2,0,79.3861,True

3.2,88.7695,0,False

3.4,0,0,False

3.4,0,83.4661,True

3.4,93.5812,0,False

3.6,0,0,False

3.6,0,87.4183,True

3.6,98.2276,0,False

3.8,0,0,False

3.8,0,91.2525,True

3.8,102.722,0,False

4.,0,0,False

4.,0,94.9769,False

4.,7.74932,87.7741,True

4.,107.077,0,False

4.2,0,0,False

4.2,0,98.599,False

4.2,18.7394,81.2348,True

4.2,111.301,0,False

4.4,0,0,False

4.4,0,102.126,False

4.4,30.3754,74.0774,True

4.4,115.405,0,False

4.6,0,0,False

4.6,0,105.563,False

4.6,42.8717,66.1347,True

4.6,119.395,0,False

4.8,0,0,False

4.8,0,108.915,False

4.8,56.5721,57.1358,True

4.8,123.281,0,False

5.,0,0,False

5.,0,112.189,False

5.,72.0995,46.5869,True

5.,127.067,0,False

5.2,0,0,False

5.2,0,115.388,False

5.2,90.8479,33.3814,True

5.2,130.76,0,False

5.4,0,0,False

5.4,0,118.515,False

5.4,118.006,13.4037,True

5.4,134.365,0,False

5.6,0,0,False

5.6,0,121.576,False

5.6,137.886,0,True

5.8,0,0,False

5.8,0,124.572,False

5.8,141.33,0,True

6.,0,0,False

6.,0,127.508,False

6.,144.698,0,True

6.2,0,0,False

6.2,0,130.387,False

6.2,147.996,0,True

6.4,0,0,False

6.4,0,133.21,False

6.4,151.226,0,True

6.6,0,0,False

6.6,0,135.98,False

6.6,154.391,0,True

6.8,0,0,False

6.8,0,138.7,False

6.8,157.496,0,True

7.,0,0,False

7.,0,141.371,False

7.,160.541,0,True

7.2,0,0,False

7.2,0,143.996,False

7.2,163.53,0,True

7.4,0,0,False

7.4,0,146.577,False

7.4,166.465,0,True

7.6,0,0,False

7.6,0,149.115,False

7.6,169.349,0,True

7.8,0,0,False

7.8,0,151.611,False

7.8,172.183,0,True

8.,0,0,False

8.,0,154.069,False

8.,174.969,0,True

8.2,0,0,False

8.2,0,156.488,False

8.2,177.71,0,True

8.4,0,0,False

8.4,0,158.87,False

8.4,180.406,0,True

8.6,0,0,False

8.6,0,161.216,False

8.6,183.059,0,True

8.8,0,0,False

8.8,0,163.529,False

8.8,185.671,0,True

9.,0,0,False

9.,0,165.808,False

9.,188.244,0,True

9.2,0,0,False

9.2,0,168.055,False

9.2,190.778,0,True

9.4,0,0,False

9.4,0,170.27,False

9.4,193.275,0,True

9.6,0,0,False

9.6,0,172.456,False

9.6,195.736,0,True

9.8,0,0,False

9.8,0,174.613,False

9.8,198.162,0,True

10.,0,0,False

10.,0,176.741,False

10.,200.555,0,True
