#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
# {z1 -> 2.691469, z2 -> 4.915440, u -> 4.5, w -> 0.15}
Nu0,M1,M2,stable
3.79,0,0,False

3.79,0,63.8552,True

3.79,93.4991,0,False

3.8,0,0,False

3.8,0,64.0069,True

3.8,93.7134,0,False

3.81,0,0,False

3.81,0,64.1583,True

3.81,93.9274,0,False

3.82,0,0,False

3.82,0,64.3096,True

3.82,94.1411,0,False

3.83,0,0,False

3.83,0,64.4607,True

3.83,94.3544,0,False

3.84,0,0,False

3.84,0,64.6116,True

3.84,94.5674,0,False

3.85,0,0,False

3.85,0,64.7624,True

3.85,94.78,0,False

3.86,0,0,False

3.86,0,64.913,True

3.86,94.9924,0,False

3.87,0,0,False

3.87,0,65.0633,True

3.87,95.2044,0,False

3.88,0,0,False

3.88,0,65.2135,True

3.88,95.4161,0,False

3.89,0,0,False

3.89,0,65.3636,True

3.89,95.6274,0,False

3.9,0,0,False

3.9,0,65.5134,True

3.9,95.8385,0,False

3.91,0,0,False

3.91,0,65.6631,True

3.91,96.0492,0,False

3.92,0,0,False

3.92,0,65.8126,True

3.92,96.2596,0,False

3.93,0,0,False

3.93,0,65.9619,True

3.93,96.4697,0,False

3.94,0,0,False

3.94,0,66.111,True

3.94,96.6795,0,False

3.95,0,0,False

3.95,0,66.26,True

3.95,96.889,0,False

3.96,0,0,False

3.96,0,66.4088,True

3.96,97.0981,0,False

3.97,0,0,False

3.97,0,66.5574,True

3.97,97.307,0,False

3.98,0,0,False

3.98,0,66.7058,True

3.98,97.5155,0,False

3.99,0,0,False

3.99,0,66.8541,True

3.99,97.7237,0,False

4.,0,0,False

4.,0,67.0022,True

4.,97.9316,0,False

4.01,0,0,False

4.01,0,67.1501,True

4.01,98.1392,0,False

4.02,0,0,False

4.02,0,67.2979,True

4.02,98.3465,0,False

4.03,0,0,False

