#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1, q0 -> 0.05, p -> 0, h -> 0.1}
#{z1 -> 4.0013854, z2 -> 6.429247, z3 -> 7.086968, u -> 4.8, w -> 0.1}
Nu0, M1, M2, M3, stable 
4.8,0,0,0,False

4.8,0,0,64.807,False

4.8,0,63.4701,0,False

4.8,112.205,0,0,True

4.9,0,0,0,False

4.9,0,0,65.9087,False

4.9,0,64.5465,0,False

4.9,113.88,0,0,True

5.,0,0,0,False

5.,0,0,67.0005,False

5.,0,65.6133,0,False

5.,115.535,0,0,True

5.1,0,0,0,False

5.1,0,0,68.0827,False

5.1,0,66.6707,0,False

5.1,117.17,0,0,True

5.2,0,0,0,False

5.2,0,0,69.1556,False

5.2,0,67.719,0,False

5.2,118.787,0,0,True

5.3,0,0,0,False

5.3,0,0,70.2193,False

5.3,0,68.7582,0,False

5.3,120.386,0,0,True

5.4,0,0,0,False

5.4,0,0,71.2741,False

5.4,0,69.7887,0,False

5.4,121.967,0,0,True

5.5,0,0,0,False

5.5,0,0,72.32,False

5.5,0,70.8105,0,False

5.5,123.532,0,0,True

5.6,0,0,0,False

5.6,0,0,73.3574,False

5.6,0,71.8239,0,False

5.6,125.079,0,0,True

5.7,0,0,0,False

5.7,0,0,74.3863,False

5.7,0,72.829,0,False

5.7,126.61,0,0,True

5.8,0,0,0,False

5.8,0,0,75.4069,False

5.8,0,73.8261,0,False

5.8,128.125,0,0,True

5.9,0,0,0,False

5.9,0,0,76.4194,False

5.9,0,74.8152,0,False

5.9,129.624,0,0,True

6.,0,0,0,False

6.,0,0,77.424,False

6.,0,75.7965,0,False

6.,131.109,0,0,True

6.1,0,0,0,False

6.1,0,0,78.4207,False

6.1,0,76.7702,0,False

6.1,132.578,0,0,True

6.2,0,0,0,False

6.2,0,0,79.4099,False

6.2,0,77.7364,0,False

6.2,134.034,0,0,True

6.3,0,0,0,False

6.3,0,0,80.3915,False

6.3,0,78.6952,0,False

6.3,135.475,0,0,True

6.4,0,0,0,False

6.4,0,0,81.3657,False

6.4,0,79.6469,0,False

6.4,136.902,0,0,True

6.5,0,0,0,False

6.5,0,0,82.3327,False

6.5,0,80.5915,0,False

6.5,138.316,0,0,True

6.6,0,0,0,False

6.6,0,0,83.2926,False

6.6,0,81.5291,0,False

6.6,139.716,0,0,True

6.7,0,0,0,False

6.7,0,0,84.2455,False

6.7,0,82.46,0,False

6.7,141.104,0,0,True

6.8,0,0,0,False

6.8,0,0,85.1916,False

6.8,0,83.3841,0,False

6.8,142.479,0,0,True

6.9,0,0,0,False

6.9,0,0,86.1309,False

6.9,0,84.3016,0,False

6.9,143.842,0,0,True

7.,0,0,0,False

7.,0,0,87.0636,False

7.,0,85.2127,0,False

7.,145.193,0,0,True

7.1,0,0,0,False

7.1,0,0,87.9899,False

7.1,0,86.1174,0,False

7.1,146.531,0,0,True

7.2,0,0,0,False

7.2,0,0,88.9097,False

7.2,0,87.0159,0,False

7.2,147.859,0,0,True

7.3,0,0,0,False

7.3,0,0,89.8232,False

7.3,0,87.9082,0,False

7.3,149.175,0,0,True

7.4,0,0,0,False

7.4,0,0,90.7305,False

7.4,0,88.7945,0,False

7.4,150.479,0,0,True

7.5,0,0,0,False

7.5,0,0,91.6317,False

7.5,0,89.6749,0,False

7.5,151.773,0,0,True

7.6,0,0,0,False

7.6,0,0,92.527,False

7.6,0,90.5494,0,False

7.6,153.056,0,0,True

7.7,0,0,0,False

7.7,0,0,93.4163,False

7.7,0,91.4182,0,False

7.7,154.329,0,0,True

7.8,0,0,0,False

7.8,0,0,94.2999,False

7.8,0,92.2813,0,False

7.8,155.591,0,0,True

7.9,0,0,0,False

7.9,0,0,95.1778,False

7.9,0,93.1388,0,False

7.9,156.843,0,0,True

8.,0,0,0,False

8.,0,0,96.05,False

8.,0,93.9909,0,False

8.,158.085,0,0,True

8.1,0,0,0,False

8.1,0,0,96.9167,False

8.1,0,94.8375,0,False

8.1,159.318,0,0,True

8.2,0,0,0,False

8.2,0,0,97.7779,False

8.2,0,95.6789,0,False

8.2,160.541,0,0,True

8.3,0,0,0,False

8.3,0,0,98.6338,False

8.3,0,96.515,0,False

8.3,161.754,0,0,True

8.4,0,0,0,False

8.4,0,0,99.4844,False

8.4,0,97.3459,0,False

8.4,162.958,0,0,True

8.5,0,0,0,False

8.5,0,0,100.33,False

8.5,0,98.1718,0,False

8.5,164.153,0,0,True

8.6,0,0,0,False

8.6,0,0,101.17,False

8.6,0,98.9927,0,False

8.6,165.34,0,0,True

8.7,0,0,0,False

8.7,0,0,102.005,False

8.7,0,99.8086,0,False

8.7,166.517,0,0,True

8.8,0,0,0,False

8.8,0,0,102.835,False

8.8,0,100.62,0,False

8.8,167.686,0,0,True

8.9,0,0,0,False

8.9,0,0,103.661,False

8.9,0,101.426,0,False

8.9,168.846,0,0,True

9.,0,0,0,False

9.,0,0,104.481,False

9.,0,102.228,0,False

9.,169.998,0,0,True

9.1,0,0,0,False

9.1,0,0,105.297,False

9.1,0,103.024,0,False

9.1,171.142,0,0,True

9.2,0,0,0,False

9.2,0,0,106.108,False

9.2,0,103.817,0,False

9.2,172.278,0,0,True

9.3,0,0,0,False

9.3,0,0,106.914,False

9.3,0,104.605,0,False

9.3,173.406,0,0,True

9.4,0,0,0,False

9.4,0,0,107.716,False

9.4,0,105.388,0,False

9.4,174.526,0,0,True

9.5,0,0,0,False

9.5,0,0,108.513,False

9.5,0,106.167,0,False

9.5,175.638,0,0,True

9.6,0,0,0,False

9.6,0,0,109.306,False

9.6,0,106.941,0,False

9.6,176.743,0,0,True

9.7,0,0,0,False

9.7,0,0,110.094,False

9.7,0,107.712,0,False

9.7,177.84,0,0,True

9.8,0,0,0,False

9.8,0,0,110.878,False

9.8,0,108.478,0,False

9.8,178.93,0,0,True

9.9,0,0,0,False

9.9,0,0,111.657,False

9.9,0,109.24,0,False

9.9,180.013,0,0,True

10.,0,0,0,False

10.,0,0,112.433,False

10.,0,109.997,0,False

10.,181.088,0,0,True
