# {W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
#{z1 -> 3.537603, z2 -> 5.762877, u -> 4.5, w -> 0.1}
Nu0,M1,M2,stable
3.79,0,0,False

3.79,0,64.3897,True

3.79,96.2396,0,False

3.8,0,0,False

3.8,0,64.5309,True

3.8,96.4398,0,False

3.81,0,0,False

3.81,0,64.6719,True

3.81,96.6396,0,False

3.82,0,0,False

3.82,0,64.8128,True

3.82,96.8391,0,False

3.83,0,0,False

3.83,0,64.9535,True

3.83,97.0383,0,False

3.84,0,0,False

3.84,0,65.0941,True

3.84,97.2372,0,False

3.85,0,0,False

3.85,0,65.2344,True

3.85,97.4359,0,False

3.86,0,0,False

3.86,0,65.3746,True

3.86,97.6342,0,False

3.87,0,0,False

3.87,0,65.5147,True

3.87,97.8322,0,False

3.88,0,0,False

3.88,0,65.6545,True

3.88,98.03,0,False

3.89,0,0,False

3.89,0,65.7943,True

3.89,98.2274,0,False

3.9,0,0,False

3.9,0,65.9338,True

3.9,98.4246,0,False

3.91,0,0,False

3.91,0,66.0732,True

3.91,98.6215,0,False

3.92,0,0,False

3.92,0,66.2124,True

3.92,98.8181,0,False

3.93,0,0,False

3.93,0,66.3515,True

3.93,99.0144,0,False

3.94,0,0,False

3.94,0,66.4903,True

3.94,99.2104,0,False

3.95,0,0,False

3.95,0,66.6291,True

3.95,99.4061,0,False

3.96,0,0,False

3.96,0,66.7676,True

3.96,99.6016,0,False

3.97,0,0,False

3.97,0,66.906,True

3.97,99.7967,0,False

3.98,0,0,False

3.98,0,67.0443,True

3.98,99.9916,0,False

3.99,0,0,False

3.99,0,67.1824,True

3.99,100.186,0,False

4.,0,0,False

4.,0,67.3203,True

4.,100.381,0,False

4.01,0,0,False

4.01,0,67.4581,True

4.01,100.575,0,False

4.02,0,0,False

4.02,0,67.5957,True

4.02,100.768,0,False

4.03,0,0,False

